%------------ Rayleigh Benard grid32 full label results
% Ra, delta, label, KE(end), VTY(end), flag
1500,1e-08,0,2.19796e-06,1.39358e-05,0
1500,1e-05,0,1.20031e-05,7.61446e-05,0
1500,0.0001,0,0.000101735,0.000645448,0
1500,0.001,0,0.000920364,0.00583963,0
1500,0.01,1,0.00421285,0.0267602,0
1505,1e-16,0,2.5298e-06,1.60398e-05,0
1505,1e-12,0,2.99595e-06,1.89953e-05,0
1505,1e-08,0,4.94556e-05,0.000313565,0
1505,1e-05,0,3.28855e-05,0.000208545,0
1505,0.0001,0,0.000150258,0.000953094,0
1505,0.001,0,0.00127064,0.00806051,0
1505,0.01,1,0.00450364,0.0286049,0
1510,1e-16,0,3.08258e-05,0.000195446,0
1510,1e-12,0,5.21549e-05,0.00033068,0
1510,1e-08,0,0.00025265,0.00160189,0
1510,1e-05,0,3.47784e-05,0.000220468,0
1510,0.0001,0,0.00024529,0.00155562,0
1510,0.001,0,0.00178194,0.0113026,0
1510,0.01,1,0.00479761,0.0304699,0
1515,1e-16,0,0.000360993,0.00228882,0
1515,1e-12,0,0.00089854,0.00569709,0
1515,1e-08,0,0.00071,0.00450166,0
1515,1e-05,0,0.000609162,0.00386235,0
1515,0.0001,0,0.00122383,0.00775999,0
1515,0.001,0,0.00239305,0.0151778,0
1515,0.01,1,0.00509208,0.0323383,0
1520,1e-16,0,0.00227145,0.0144026,0
1520,1e-12,0,0.00214584,0.0136061,0
1520,1e-08,0,0.00219015,0.013887,0
1520,1e-05,0,0.00217739,0.0138062,0
1520,0.0001,0,0.00231492,0.0146786,0
1520,0.001,1,0.00300236,0.0190419,0
1520,0.01,1,0.00538488,0.0341964,0
1525,1e-16,1,0.00301487,0.0191172,0
1525,1e-12,1,0.0030194,0.0191459,0
1525,1e-08,1,0.00302196,0.0191622,0
1525,1e-05,1,0.00302813,0.0192014,0
1525,0.0001,1,0.00308889,0.0195871,0
1525,0.001,1,0.00356404,0.0226045,0
1525,0.01,1,0.00567436,0.0360336,0
1530,1e-16,1,0.00366649,0.0232503,0
1530,1e-12,1,0.00366701,0.0232536,0
1530,1e-08,1,0.003667,0.0232535,0
1530,1e-05,1,0.00367171,0.0232834,0
1530,0.0001,1,0.00371353,0.023549,0
1530,0.001,1,0.00407312,0.0258337,0
1530,0.01,1,0.00595933,0.0378424,0
1535,1e-16,1,0.00421267,0.026715,0
1535,1e-12,1,0.00421267,0.0267151,0
1535,1e-08,1,0.00421267,0.0267151,0
1535,1e-05,1,0.00421628,0.026738,0
1535,0.0001,1,0.00424836,0.0269419,0
1535,0.001,1,0.00453705,0.0287771,0
1535,0.01,1,0.00623899,0.0396177,0
1540,1e-16,1,0.00469359,0.0297663,0
